kod,nazwa,region
2475,powiat Sosnowiec,1520
1818,powiat stalowowolski,4015
2611,powiat starachowicki,2005
3214,powiat stargardzki,5515
2213,powiat starogardzki,1015
2612,powiat staszowski,2005
1611,powiat strzelecki,5015
0806,powiat strzelecko-drezdenecki,5505
0217,powiat strzeliński,5025
1819,powiat strzyżowski,4010
0807,powiat sulęciński,5505
1215,powiat suski,2010
2012,powiat suwalski,0520
2063,powiat Suwałki,0520
3024,powiat szamotulski,3510
3262,powiat Szczecin,5515
3215,powiat szczecinecki,5510
2817,powiat szczycieński,0515
2216,powiat sztumski,1015
1430,powiat szydłowiecki,3010
3025,powiat średzki,3510
0218,powiat średzki,5025
3026,powiat śremski,3510
0617,powiat świdnicki,3005
0219,powiat świdnicki,5020
3216,powiat świdwiński,5510
0808,powiat świebodziński,3515
0414,powiat świecki,1005
2476,powiat Świętochłowice,1520
3263,powiat Świnoujście,5515
1864,powiat Tarnobrzeg,4015
1820,powiat tarnobrzeski,4015
2413,powiat tarnogórski,1515
1216,powiat tarnowski,2020
1263,powiat Tarnów,2020
1217,powiat tatrzański,2015
2214,powiat tczewski,1015
0618,powiat tomaszowski,3020
1016,powiat tomaszowski,2515
0463,powiat Toruń,1025
0415,powiat toruński,1025
0220,powiat trzebnicki,5025
0416,powiat tucholski,1005
3027,powiat turecki,3505
2477,powiat Tychy,1520
1218,powiat wadowicki,2010
0265,powiat Wałbrzych,5020
0221,powiat wałbrzyski,5020
3217,powiat wałecki,5510
1465,powiat Warszawa Zachód,4505
1466,powiat Warszawa Wschód,4510
1432,powiat warszawski zachodni,4505
0417,powiat wąbrzeski,1025
3028,powiat wągrowiecki,3510
2215,powiat wejherowski,1015
2819,powiat węgorzewski,0515
1433,powiat węgrowski,3015
1219,powiat wielicki,2010
1017,powiat wieluński,2520
1018,powiat wieruszowski,2520
0464,powiat Włocławek,1030
0418,powiat włocławski,1030
0619,powiat włodawski,3005
2613,powiat włoszczowski,2005
2415,powiat wodzisławski,1515
3029,powiat wolsztyński,3510
1434,powiat wołomiński,4510
0222,powiat wołowski,5025
0264,powiat Wrocław,5025
0223,powiat wrocławski,5025
3030,powiat wrzesiński,3510
0812,powiat wschowski,3515
2013,powiat wysokomazowiecki,0510
1435,powiat wyszkowski,0525
2478,powiat Zabrze,1515
2014,powiat zambrowski,0510
0620,powiat zamojski,3020
0664,powiat Zamość,3020
2416,powiat zawierciański,1510
0224,powiat ząbkowicki,5020
1019,powiat zduńskowolski,2520
1020,powiat zgierski,2510
0225,powiat zgorzelecki,5005
0862,powiat Zielona Góra,3515
0809,powiat zielonogórski,3515
0226,powiat złotoryjski,5010
3031,powiat złotowski,3510
1436,powiat zwoleński,3010
0810,powiat żagański,3515
0811,powiat żarski,3515
0419,powiat żniński,1005
2479,powiat Żory,1515
1437,powiat żuromiński,2525
1438,powiat żyrardowski,2525
2417,powiat żywiecki,1505
